Count;Frequencies forehead
30.208;105.46875000000001
30.692;105.46875000000001
31.158;105.46875000000001
31.653;105.46875000000001
32.116;105.46875000000001
32.605;105.46875000000001
33.082;105.46875000000001
33.606;105.46875000000001
34.044;105.46875000000001
34.513;105.46875000000001
35.02;105.46875000000001
35.506;105.46875000000001
36.011;105.46875000000001
36.462;105.46875000000001
36.924;105.46875000000001
37.414;105.46875000000001
37.869;105.46875000000001
38.37;105.46875000000001
38.855;105.46875000000001
39.329;105.46875000000001
39.848;105.46875000000001
40.293;105.46875000000001
40.785;105.46875000000001
41.251;105.46875000000001
41.739;105.46875000000001
42.198;105.46875000000001
42.679;105.46875000000001
43.155;104.86875
43.629;104.26875000000001
44.119;103.66875000000002
44.648;103.06875000000001
45.07;102.46875000000001
45.587;101.86875
46.043;101.26875000000001
46.541;100.66875
47.046;100.06875000000001
47.483;99.46875000000001
48.007;98.86875
48.457;98.26875000000001
48.926;97.66875
49.397;93.75
49.933;93.75
50.39;93.75
50.845;89.84375000000001
51.354;89.84375000000001
51.824;89.84375000000001
52.277;89.84375000000001
52.765;85.9375
53.264;85.9375
53.737;85.9375
54.208;85.9375
54.686;85.9375
55.209;85.9375
55.667;85.9375
56.109;85.9375
56.598;85.9375
57.084;85.9375
57.552;85.9375
58.051;85.9375
58.542;85.9375
59.029;85.9375
59.492;85.9375
60.004;85.9375
60.453;85.9375
60.94;85.9375
61.399;85.9375
61.892;85.9375
62.353;85.9375
62.85;85.9375
63.37;85.9375
63.792;85.9375
64.275;85.9375
64.769;85.9375
65.291;85.9375
65.743;85.9375
66.216;85.9375
66.702;85.9375
67.157;85.9375
67.687;85.9375
68.146;85.9375
68.618;85.9375
69.073;82.03125
69.591;82.03125
70.031;82.03125
70.548;82.03125
71.029;82.03125
71.506;82.03125
71.983;82.03125
72.495;82.03125
72.974;82.03125
73.405;82.03125
73.934;82.03125
74.35;82.03125
74.844;82.03125
75.322;82.03125
75.883;82.03125
76.28;82.03125
76.792;82.03125
77.242;82.03125
77.746;82.03125
78.212;82.03125
78.689;82.03125
79.163;82.03125
79.737;82.03125
80.123;82.03125
80.655;82.03125
81.089;82.03125
81.568;82.03125
82.038;82.03125
82.523;82.03125
83.04;82.03125
83.489;82.03125
83.96;82.03125
84.465;82.03125
84.936;82.03125
85.444;82.03125
85.887;82.03125
86.355;82.03125
86.883;78.12500000000001
87.36;78.12500000000001
87.818;78.12500000000001
88.277;78.12500000000001
88.81;78.12500000000001
89.258;78.12500000000001
89.715;78.12500000000001
90.195;78.12500000000001
90.726;78.12500000000001
91.214;78.12500000000001
91.629;78.12500000000001
92.112;78.12500000000001
92.611;78.12500000000001
93.12;78.12500000000001
93.563;78.12500000000001
94.045;78.12500000000001
94.569;78.12500000000001
95.039;78.12500000000001
95.518;78.12500000000001
95.951;78.12500000000001
96.458;78.12500000000001
96.92;78.12500000000001
97.479;74.21875
97.945;74.21875
98.351;74.21875
98.884;74.21875
99.373;74.21875
99.845;74.21875
100.324;74.21875
100.826;74.21875
101.269;74.21875
101.739;74.21875
102.197;74.21875
102.715;74.21875
103.153;74.21875
103.657;74.21875
104.17;74.21875
104.59;74.21875
105.091;74.21875
105.562;74.21875
106.085;74.21875
106.509;78.12500000000001
107.025;78.12500000000001
107.503;78.12500000000001
107.984;78.12500000000001
108.486;78.12500000000001
108.93;78.12500000000001
109.423;78.12500000000001
109.88;78.12500000000001
110.375;78.12500000000001
110.871;78.12500000000001
111.326;78.12500000000001
111.795;78.12500000000001
112.323;78.12500000000001
112.804;78.12500000000001
113.278;78.12500000000001
113.768;78.12500000000001
114.211;78.12500000000001
114.69;78.12500000000001
115.164;78.12500000000001
115.683;78.12500000000001
116.16;78.12500000000001
116.613;78.12500000000001
117.181;78.12500000000001
117.59;78.12500000000001
118.075;78.12500000000001
118.538;78.12500000000001
119.076;78.12500000000001
119.518;78.12500000000001
120.007;78.12500000000001
120.449;78.12500000000001
120.926;78.12500000000001
121.422;78.12500000000001
121.882;78.12500000000001
122.411;78.12500000000001
122.834;78.12500000000001
123.342;78.12500000000001
123.805;78.12500000000001
124.294;78.12500000000001
124.752;78.12500000000001
125.275;78.12500000000001
125.769;78.12500000000001
126.24;78.12500000000001
126.681;78.12500000000001
127.168;78.12500000000001
127.668;78.12500000000001
128.142;78.12500000000001
128.613;78.12500000000001
129.069;78.12500000000001
129.574;78.12500000000001
130.077;78.12500000000001
130.543;78.12500000000001
131.025;78.12500000000001
131.502;78.12500000000001
131.957;78.12500000000001
132.431;78.12500000000001
132.928;78.12500000000001
133.402;78.12500000000001
133.929;78.12500000000001
134.411;78.12500000000001
134.864;78.12500000000001
135.313;78.12500000000001
135.825;78.12500000000001
136.304;78.12500000000001
136.795;78.12500000000001
137.256;78.12500000000001
137.775;78.12500000000001
138.245;78.12500000000001
138.695;78.12500000000001
139.182;78.12500000000001
139.65;78.12500000000001
140.143;78.12500000000001
140.603;74.21875
141.084;74.21875
141.574;74.21875
142.034;74.21875
142.531;74.21875
143.021;74.21875
143.484;74.21875
143.953;74.21875
144.444;74.21875
144.946;74.21875
145.399;74.21875
145.893;74.21875
146.368;74.21875
146.877;74.21875
147.31;74.21875
147.822;74.21875
148.323;74.21875
148.832;74.21875
149.292;74.21875
149.721;74.21875
150.195;74.21875
150.705;74.21875
151.158;74.21875
151.69;74.21875
152.145;74.21875
152.629;74.21875
153.096;78.12500000000001
153.569;78.12500000000001
154.043;78.12500000000001
154.526;78.12500000000001
155.057;78.12500000000001
155.475;78.12500000000001
155.972;78.12500000000001
156.458;78.12500000000001
156.909;78.12500000000001
157.417;78.12500000000001
157.878;78.12500000000001
158.364;78.12500000000001
158.831;78.12500000000001
159.323;78.12500000000001
159.892;78.12500000000001
160.297;78.12500000000001
160.777;78.12500000000001
161.271;78.12500000000001
161.72;78.12500000000001
162.206;78.12500000000001
162.73;78.12500000000001
163.205;78.12500000000001
163.644;78.12500000000001
164.168;78.12500000000001
164.613;78.12500000000001
165.095;74.21875
165.582;74.21875
166.03;74.21875
166.525;74.21875
167.004;74.21875
167.482;74.21875
167.953;74.21875
168.477;74.21875
168.94;74.21875
169.428;74.21875
169.889;74.21875
170.372;74.21875
170.856;74.21875
171.331;74.21875
171.845;74.21875
172.37;74.21875
172.817;74.21875
173.234;74.21875
173.726;74.21875
174.216;74.21875
174.669;74.21875
175.169;74.21875
175.629;74.21875
176.235;74.21875
176.64;74.21875
177.075;74.21875
177.572;74.21875
178.075;74.21875
178.536;74.21875
179.011;74.21875
179.487;74.21875
179.971;74.21875